scenario,counterparty,netting_set,cva,recovery_rate,market_factor,market_correlation,rate_correlation,independent_cva,cva_uplift,cva_uplift_pct
independent,Bank A,NS_BANK_A,12279.07142470085,0.4,SP500,0.0,0.0,12279.07142470085,0.0,0.0
independent,Bank B,NS_BANK_B,108898.81407385024,0.4,NASDAQ100,0.0,0.0,108898.81407385024,0.0,0.0
independent,Fund C,NS_FUND_C,13457.627078986989,0.35,SP500,0.0,0.0,13457.627078986989,0.0,0.0
moderate,Bank A,NS_BANK_A,14077.28388457495,0.4,SP500,0.4,0.0,12279.07142470085,1798.2124598741011,14.644531314125086
moderate,Bank B,NS_BANK_B,117807.93816607643,0.4,NASDAQ100,-0.4,-0.2,108898.81407385024,8909.124092226193,8.181102951391582
moderate,Fund C,NS_FUND_C,15219.898329772535,0.35,SP500,0.4,0.0,13457.627078986989,1762.2712507855467,13.094962733342438
severe,Bank A,NS_BANK_A,15494.512767462787,0.4,SP500,0.7,0.0,12279.07142470085,3215.4413427619384,26.186355885948235
severe,Bank B,NS_BANK_B,124181.00679907366,0.4,NASDAQ100,-0.7,-0.3,108898.81407385024,15282.192725223416,14.033387649988297
severe,Fund C,NS_FUND_C,16621.508218986255,0.35,SP500,0.7,0.0,13457.627078986989,3163.8811399992665,23.509948086906157
