risk_factor,path,time_years,value
SP500,27,3.75,5221.512960535152
SP500,27,4.0,4890.3059577806725
SP500,27,4.25,5087.20748321928
SP500,27,4.5,5072.058115235727
SP500,27,4.75,5969.9450123267225
SP500,27,5.0,5939.874081346506
SP500,28,0.0,5000.0
SP500,28,0.25,4587.442259172454
SP500,28,0.5,4328.416208438587
SP500,28,0.75,4824.472562526262
SP500,28,1.0,3881.528289406099
SP500,28,1.25,3966.2076340224894
SP500,28,1.5,3835.148395026235
SP500,28,1.75,4089.3121194697187
SP500,28,2.0,4030.521083415205
SP500,28,2.25,4326.36826030113
SP500,28,2.5,5204.697553248404
SP500,28,2.75,5115.130736921137
SP500,28,3.0,5251.730225533676
SP500,28,3.25,4507.800421408527
SP500,28,3.5,4279.960844928521
SP500,28,3.75,3881.7804798714005
SP500,28,4.0,3635.400857179809
SP500,28,4.25,3481.007392372946
SP500,28,4.5,3520.1914566629534
SP500,28,4.75,3495.795097954381
SP500,28,5.0,3666.2306295691055
SP500,29,0.0,5000.0
SP500,29,0.25,5572.782584788211
SP500,29,0.5,6041.534718862967
SP500,29,0.75,6582.267675671502
SP500,29,1.0,6536.654542655261
SP500,29,1.25,6783.117218811398
SP500,29,1.5,6564.262032946124
SP500,29,1.75,5990.060897621855
SP500,29,2.0,6313.528491801604
SP500,29,2.25,6477.433267580867
SP500,29,2.5,6697.299223894907
SP500,29,2.75,6035.784552041107
SP500,29,3.0,6704.067761677792
SP500,29,3.25,7351.784077445959
SP500,29,3.5,8549.157077369777
SP500,29,3.75,8031.218512254999
SP500,29,4.0,8704.143896288502
SP500,29,4.25,8208.891106498797
SP500,29,4.5,8098.640448520122
SP500,29,4.75,8568.889070035855
SP500,29,5.0,8510.10718244359
SP500,30,0.0,5000.0
SP500,30,0.25,5500.719699006185
SP500,30,0.5,4813.2667111565
SP500,30,0.75,4739.185175872328
SP500,30,1.0,4252.634237124916
SP500,30,1.25,4040.935013488813
SP500,30,1.5,4020.95400348715
SP500,30,1.75,4411.383662583694
SP500,30,2.0,5159.906743917693
SP500,30,2.25,5254.315466336132
SP500,30,2.5,5427.915854114763
SP500,30,2.75,5672.211902993126
SP500,30,3.0,7038.429283008444
SP500,30,3.25,7470.975221995745
SP500,30,3.5,6881.385171168902
SP500,30,3.75,6432.59788736681
SP500,30,4.0,5829.218934856351
SP500,30,4.25,5490.555473016255
SP500,30,4.5,5442.746849878763
SP500,30,4.75,5707.74348934625
SP500,30,5.0,5981.461096763364
SP500,31,0.0,5000.0
SP500,31,0.25,4520.852886931171
SP500,31,0.5,4501.634861152189
SP500,31,0.75,4435.130402839631
SP500,31,1.0,4124.055689982221
SP500,31,1.25,3418.6898809345785
SP500,31,1.5,3486.6899198480332
SP500,31,1.75,3741.714081647152
SP500,31,2.0,3619.426903496277
SP500,31,2.25,3903.4161710048743
SP500,31,2.5,4462.897524012159
SP500,31,2.75,5274.482004208358
SP500,31,3.0,5488.6588818777245
SP500,31,3.25,5189.35900796774
SP500,31,3.5,5278.905952405046
SP500,31,3.75,4655.1626044906725
SP500,31,4.0,4819.338109694801
SP500,31,4.25,4640.836439408126
SP500,31,4.5,4988.574207646793
SP500,31,4.75,4174.279951105498
SP500,31,5.0,4631.023887008772
SP500,32,0.0,5000.0
SP500,32,0.25,5007.267383119288
SP500,32,0.5,4546.391554923108
SP500,32,0.75,4876.43996515306
SP500,32,1.0,4863.486243050759
SP500,32,1.25,4526.818727732026
SP500,32,1.5,5008.407614332296
SP500,32,1.75,5438.473161930803
SP500,32,2.0,5730.109214262815
SP500,32,2.25,6074.8070484302625
SP500,32,2.5,6140.374025669903
SP500,32,2.75,7037.9567757201075
