netting_set,max_ee,max_pfe_95,max_pfe_99,counterparty
NS_BANK_A,933410.7893776043,4400972.647969789,6914277.858525324,Bank A
NS_BANK_B,2607127.730739273,5882947.438050219,7391678.171120732,Bank B
NS_FUND_C,329652.4982318342,1973392.5128042751,3735993.7399210073,Fund C
